Designator,Mid X,Mid Y,Rotation,Layer
C1,159.8325,-119.01,0.0,top
C10,174.6075,-93.925,0.0,top
C19,168.0575,-96.01,0.0,top
C2,159.3025,-125.665,180.0,top
C20,169.7525,-94.0,0.0,top
C21,171.5075,-96.005,0.0,top
C3,159.8225,-123.05,180.0,top
C4,159.8225,-121.03,0.0,top
C5,157.6525,-115.455,270.0,top
C6,155.6275,-115.46,270.0,top
C7,153.6225,-115.46,270.0,top
C8,118.0375,-121.31,90.0,top
C9,118.0375,-124.955,90.0,top
D1,184.2375,-113.64,270.0,top
D2,184.2375,-107.195,270.0,top
J1,135.9725,-106.69,90.0,top
R1,157.985,-98.445,0.0,top
R10,154.1375,-94.9325,90.0,top
R11,163.0925,-125.2475,270.0,top
R12,165.1275,-125.3075,270.0,top
R13,170.3225,-131.055,90.0,top
R14,156.7825,-131.1075,90.0,top
R15,164.615,-94.99,0.0,top
R16,161.245,-94.995,0.0,top
R2,178.8375,-110.4125,90.0,top
R3,179.5275,-104.6325,90.0,top
R9,177.6575,-95.5375,270.0,top
SW1,183.6825,-98.6,0.0,top
SW2,146.9475,-97.94,0.0,top
SW3,107.3025,-125.265,0.0,top
SW4,107.2675,-87.455,0.0,top
SW5,107.2675,-106.555,0.0,top
SW6,167.9125,-119.485,90.0,top
U2,153.5525,-82.74,180.0,top
U3,160.7775,-115.5,0.0,top
U4,168.4525,-104.44,270.0,top
USB1,163.5475,-130.7975,0.0,top
